Id,Brand,Movement,Case material,Bracelet material,Condition,Scope of delivery,Gender,Price,Availability,Watches Sold by the Seller
3812,Breitling,Quartz,Titanium,,Used (Very good),"Original box, original papers",Men's watch/Unisex,3890.0,Item is in stock,579.0
3813,Bulgari,Automatic,Steel,Rubber,Used (Good),"Original box, no original papers",Men's watch/Unisex,1058.0,Item is in stock,6079.0
3814,Van Cleef & Arpels,,Rose gold,Rose gold,Used (Good),"Original box, no original papers",Women's watch,21814.0,Item is in stock,1735.0
3815,Davosa,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1838.0,Item is in stock,433.0
3816,Waltham,Manual winding,Gold/Steel,Gold/Steel,Used (Good),"Original box, no original papers",Women's watch,245.0,Item is in stock,1393.0
3817,Longines,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,3000.0,Item is in stock,457.0
3818,Rolex,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,12599.0,Item is in stock,124.0
3819,Hublot,Automatic,Ceramic,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,7400.0,Item is in stock,2.0
3820,NOMOS,Manual winding,Steel,Plastic,Used (Very good),"Original box, original papers",Men's watch/Unisex,1074.0,Item is in stock,1180.0
3821,U-Boat,Manual winding,Steel,Leather,Used (Good),"Original box, original papers",Men's watch/Unisex,1085.0,Item is in stock,
3822,IWC,Automatic,Ceramic,Crocodile skin,Used (Good),"Original box, original papers",Men's watch/Unisex,6799.0,Item is in stock,92.0
3823,Davosa,,Steel,,,"No original box, no original papers",,1265.0,Item is in stock,108.0
3824,Revue Thommen,Manual winding,,,Used (Good),"No original box, no original papers",Men's watch/Unisex,1083.0,Item is in stock,
3825,Sinn,Automatic,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,1493.0,Item is in stock,17869.0
4630,Casio,,,Rubber,New,"Original box, original papers",,248.0,Item is in stock,57.0
3826,Frederique Constant,,Steel,,Used (Very good),"Original box, original papers",,3238.0,Item is in stock,6133.0
3827,Ingersoll,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,324.0,Item is in stock,14642.0
3828,Lucien Rochat,Manual winding,Yellow gold,,Used (Very good),"No original box, no original papers",,5349.0,Item is in stock,1421.0
3829,Louis Moinet,Automatic,Rose gold,Crocodile skin,New,"Original box, original papers",Men's watch/Unisex,54607.0,Item available on request,566.0
3830,Franck Muller,Quartz,White gold,Leather,New,"Original box, original papers",Women's watch,5000.0,Item is in stock,32.0
3831,Bremont,Automatic,Titanium,Rubber,Used (Fair),"Original box, original papers",Men's watch/Unisex,3950.0,Item is in stock,
3832,Lemania,Manual winding,Steel,,Used (Fair),"No original box, no original papers",,2029.0,Item needs to be procured,867.0
3833,Oris,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,4500.0,Item is in stock,266.0
3834,Festina,Automatic,,Steel,Used (Fair),"No original box, no original papers",Men's watch/Unisex,136.0,Item is in stock,
3835,Graham,Automatic,Steel,Rubber,Used (Good),"No original box, no original papers",Men's watch/Unisex,3036.0,Item is in stock,1483.0
3836,Jacob & Co.,Manual winding,Titanium,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,24563.0,Item is in stock,
3837,TAG Heuer,Automatic,Ceramic,Alligator skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,7999.0,Item is in stock,902.0
3838,Cartier,Quartz,Rose gold,Rose gold,Like new & unworn,"Original box, original papers",Women's watch,28695.0,Item needs to be procured,397.0
3839,Fendi,Quartz,Steel,Steel,New,"Original box, original papers",Women's watch,1075.0,Item is in stock,445.0
3840,Enicar,Automatic,Steel,Calf skin,Used (Fair),"No original box, no original papers",Men's watch/Unisex,2042.0,Item needs to be procured,23.0
3841,Jacques Lemans,Quartz,Gold/Steel,Gold/Steel,Like new & unworn,"Original box, original papers",Women's watch,151.0,Item is in stock,1548.0
3842,Rotary,Quartz,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,270.0,Item is in stock,14642.0
3843,Tissot,Quartz,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,315.0,Item is in stock,1176.0
3844,Bruno Söhnle,Quartz,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,954.0,Item is in stock,82.0
3845,Bulgari,Automatic,Yellow gold,Crocodile skin,Used (Very good),"No original box, no original papers",Men's watch/Unisex,5000.0,Item is in stock,75.0
3846,Davosa,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,1724.0,Item is in stock,401.0
3847,Waltham,Manual winding,,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,780.0,Item is in stock,251.0
3848,Franck Muller,Automatic,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,2495.0,Item is in stock,1506.0
3849,Orient,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,346.0,Item is in stock,4593.0
3850,Dugena,Quartz,Gold/Steel,Steel,Used (Good),"No original box, no original papers",Men's watch/Unisex,146.0,Item is in stock,
3851,Benrus,Manual winding,Steel,Leather,Like new & unworn,"No original box, no original papers",Men's watch/Unisex,588.0,Item is in stock,
3852,Czapek,,Rose gold,,Used (Very good),"Original box, original papers",Men's watch/Unisex,45895.0,Item is in stock,226.0
3853,B.R.M,Automatic,Titanium,Leather,New,"Original box, original papers",Men's watch/Unisex,5683.0,Item available on request,566.0
3854,Dior,Automatic,Steel,Textile,Like new & unworn,"Original box, original papers",Women's watch,,Item available on request,74.0
3855,Jacob & Co.,Quartz,Steel,Satin,Used (Very good),"Original papers, no original box",Men's watch/Unisex,4338.0,Item needs to be procured,119.0
3856,IWC,Automatic,Steel,Leather,Used (Good),"Original papers, no original box",Men's watch/Unisex,3499.0,Item is in stock,2946.0
3857,NOMOS,Manual winding,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,1355.0,Item is in stock,122.0
3858,Aquastar,Manual winding,Steel,,Used (Good),"No original box, no original papers",Men's watch/Unisex,6399.0,Item is in stock,
3859,Bulgari,Automatic,Rose gold,Leather,New,"Original box, original papers",Men's watch/Unisex,24900.0,Item is in stock,266.0
3860,Hublot,Automatic,Rose gold,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,20950.0,Item is in stock,3088.0
3861,Casio,,,Rubber,Like new & unworn,"Original box, original papers",,90.0,Item is in stock,57.0
