Id,Brand,Movement,Case material,Bracelet material,Condition,Scope of delivery,Gender,Price,Availability,Watches Sold by the Seller
12965,A. Lange & Söhne,Manual winding,White gold,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,58450.0,Item is in stock,418.0
12966,Dior,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Women's watch,,Item available on request,74.0
12967,Sea-Gull,Automatic,Steel,Calf skin,New,"Original box, original papers",Men's watch/Unisex,179.0,Item is in stock,359.0
12968,Louis Erard,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1301.0,Item is in stock,354.0
12969,Rotary,Automatic,Steel,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,324.0,Item is in stock,14642.0
12970,Van Der Bauwede,Automatic,Steel,Alligator skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,2080.0,Item is in stock,
12971,Maurice Lacroix,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,639.0,Item is in stock,1598.0
12972,Tudor,Automatic,Titanium,Textile,New,"Original box, original papers",Men's watch/Unisex,5250.0,Item is in stock,271.0
12973,Raymond Weil,Quartz,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,865.0,Item is in stock,1425.0
12974,Baume & Mercier,Automatic,White gold,,Used (Very good),"No original box, no original papers",,2500.0,Item is in stock,895.0
12975,Franck Muller,Automatic,Carbon,Textile,Used (Very good),"Original box, original papers",Men's watch/Unisex,11450.0,Item is in stock,1.0
12976,Rado,Quartz,Ceramic,Ceramic,Used (Very good),"Original box, original papers",Men's watch/Unisex,1301.0,Item is in stock,293.0
12977,Hamilton,Manual winding,Steel,Textile,Used (Very good),"Original box, no original papers",Men's watch/Unisex,388.0,Item is in stock,
12978,Versace,Quartz,,Steel,New,"Original box, original papers",Men's watch/Unisex,414.0,Item is in stock,376.0
12979,Romain Jerome,Automatic,Titanium,Textile,New,"Original box, original papers",Men's watch/Unisex,3575.0,Item needs to be procured,549.0
12980,Alpina,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1180.0,Item is in stock,
12981,RSW,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,379.0,Item is in stock,
12982,Armand Nicolet,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,1518.0,Item is in stock,72.0
12983,Poljot,Manual winding,,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,161.0,Item is in stock,
12984,Citizen,Automatic,Steel,Steel,Used (Very good),"No original box, no original papers",Women's watch,89.0,Item is in stock,
12985,Doxa,Automatic,,,Used (Fair),"No original box, no original papers",Men's watch/Unisex,,,
12986,Elgin,Manual winding,Gold/Steel,,Used (Good),"No original box, no original papers",Women's watch,407.0,Item is in stock,
12987,Festina,Quartz,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,248.0,Item is in stock,1608.0
12988,Hamilton,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,675.0,Item needs to be procured,2264.0
12989,Mb&f,Automatic,Steel,Leather,Used (Very good),"Original papers, no original box",Men's watch/Unisex,11822.0,Item needs to be procured,921.0
12990,Hamilton,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,775.0,Item is in stock,2264.0
12991,Oris,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,1999.0,Item is in stock,0.0
12992,Cyma,Manual winding,Yellow gold,Crocodile skin,Used (Good),"No original box, no original papers",Men's watch/Unisex,935.0,Item is in stock,
12993,Movado,Manual winding,Yellow gold,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,1295.0,Item is in stock,1393.0
12994,Dugena,Manual winding,Gold/Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,1439.0,Item is in stock,43.0
12995,Alpina,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,,Item is in stock,366.0
12996,Davosa,Automatic,Steel,Textile,New,"No original box, no original papers",Men's watch/Unisex,645.0,Item is in stock,363.0
12997,Glycine,Automatic,Steel,Leather,Used (Good),"Original box, no original papers",Men's watch/Unisex,1192.0,Item is in stock,10351.0
12998,RSW,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,466.0,Item is in stock,
12999,Garmin,,Steel,Silicon,New,"Original box, original papers",Men's watch/Unisex,727.0,Item is in stock,1287.0
13000,Armand Nicolet,Automatic,Steel,Leather,Used (Good),"Original box, no original papers",Men's watch/Unisex,2061.0,Item is in stock,
13001,Traser,Automatic,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1300.0,Item is in stock,14642.0
13002,Chanel,Quartz,Steel,Ceramic,,"Original box, original papers",,5755.0,Item available on request,1118.0
13003,Zelos,,Titanium,Titanium,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1030.0,Item is in stock,
13004,Zeno-Watch Basel,Automatic,Steel,Textile,Used (Very good),"No original box, no original papers",Men's watch/Unisex,393.0,Item is in stock,
13005,Orient,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,229.0,Item is in stock,1332.0
13006,Vulcain,Manual winding,Steel,,New,"No original box, no original papers",Men's watch/Unisex,4150.0,Item is in stock,38.0
13007,Mondia,Automatic,,Plastic,Like new & unworn,"No original box, no original papers",Men's watch/Unisex,401.0,Item is in stock,
13008,Mühle Glashütte,Automatic,Steel,Crocodile skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,4012.0,Item is in stock,250.0
13009,Schaumburg,Automatic,Steel,Leather,New,"Original box, original papers",,6339.0,Item available on request,566.0
13010,Ebel,Quartz,Steel,Steel,Used (Very good),"No original box, no original papers",Women's watch,1820.0,Item is in stock,251.0
13011,Cuervo y Sobrinos,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,,Item is in stock,798.0
13012,Burberry,Quartz,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,495.0,Item is in stock,431.0
13013,Urwerk,,,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,36855.0,Item needs to be procured,778.0
13014,Fossil,Quartz,Sapphire crystal,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,180.0,Item is in stock,
13015,H.Moser & Cie.,Manual winding,,Alligator skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,27500.0,Item is in stock,957.0
13016,Bell & Ross,Manual winding,,Leather,New,"Original box, no original papers",Men's watch/Unisex,3300.0,Item is in stock,977.0
13017,Pequignet,Automatic,Steel,Crocodile skin,New,"Original box, original papers",Men's watch/Unisex,8676.0,Item is in stock,358.0
13018,Sea-Gull,Manual winding,Gold/Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,639.0,Item is in stock,2054.0
13019,Tecnotempo,Automatic,Steel,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,563.0,Item is in stock,
13020,Hanhart,Manual winding,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,2592.0,Item is in stock,374.0
13021,Jaeger-LeCoultre,Automatic,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,4000.0,Item is in stock,120.0
13022,Bruno Söhnle,Quartz,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,542.0,Item is in stock,7780.0
13023,Ulysse Nardin,Manual winding,Platinum,,Used (Very good),"Original box, original papers",Men's watch/Unisex,15950.0,Item is in stock,284.0
13024,Louis Erard,Automatic,,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,6061.0,Item is in stock,
13025,F.P.Journe,Automatic,Platinum,Crocodile skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,95000.0,Item is in stock,124.0
13026,Garmin,Quartz,Titanium,Titanium,New,"Original box, original papers",Men's watch/Unisex,1730.0,Item is in stock,14950.0
13027,Revue Thommen,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,1518.0,Item is in stock,35.0
13028,Grand Seiko,Manual winding,Titanium,Alligator skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,6450.0,Item is in stock,3088.0
13029,B.R.M,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,9051.0,Item available on request,566.0
13030,NOMOS,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,2710.0,Item is in stock,584.0
13031,GUB Glashütte,,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,556.0,Item is in stock,3079.0
13032,Boucheron,Automatic,White gold,Leather,New,"Original box, original papers",Women's watch,24500.0,Item is in stock,266.0
13033,Certina,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,,,1921.0
13034,Eterna,Quartz,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,407.0,Item is in stock,2845.0
13035,NOMOS,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,3999.0,Item is in stock,266.0
13036,Eberhard & Co.,Automatic,Steel,Rubber,Used (Fair),"Original box, no original papers",Men's watch/Unisex,3145.0,Item is in stock,20.0
13037,Charriol,Quartz,Steel,Steel,New,"No original box, no original papers",Women's watch,426.0,Item is in stock,1425.0
13038,De Bethune,Manual winding,Titanium,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,,Item is in stock,73.0
13039,Rolex,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,19559.0,Item is in stock,50.0
13040,Shinola,,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,925.0,Item is in stock,2264.0
13041,Mondaine,,,,New,"Original box, original papers",,256.0,Item is in stock,733.0
13042,Sevenfriday,Automatic,Steel,Calf skin,New,"Original box, original papers",,1601.0,Item is in stock,144.0
13043,Movado,Quartz,Steel,Steel,New,"Original box, original papers",,515.0,Item is in stock,445.0
13044,Cvstos,Automatic,,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,12828.0,Item is in stock,5.0
13045,Shinola,Quartz,Steel,Textile,New,"Original box, original papers",Women's watch,495.0,Item is in stock,2264.0
13046,Glashütte Original,Automatic,Steel,Alligator skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,8950.0,Item needs to be procured,695.0
13047,Ebel,Quartz,Gold/Steel,Gold/Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,2500.0,Item is in stock,212.0
13048,Citizen,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,875.0,Item is in stock,580.0
13049,NOMOS,Manual winding,Rose gold,Leather,Used (Good),"Original box, no original papers",Men's watch/Unisex,10835.0,Item is in stock,24.0
13050,Ressence,Automatic,Titanium,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,20999.0,Item is in stock,124.0
13051,Mido,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,1014.0,Item is in stock,263.0
13052,Revue Thommen,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,967.0,Item is in stock,511.0
13053,Versace,Quartz,Steel,Leather,,"Original box, original papers",Women's watch,417.0,Item needs to be procured,3513.0
13054,Bulgari,Automatic,Rose gold,Leather,Like new & unworn,"Original box, original papers",,29771.0,Item is in stock,1408.0
13055,IWC,Automatic,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,7595.0,Item is in stock,1262.0
13056,Raymond Weil,Automatic,Steel,Silver,New,"Original box, no original papers",,1389.0,Item is in stock,1103.0
13057,Arnold & Son,Manual winding,,,Used (Good),"No original box, no original papers",Men's watch/Unisex,18203.0,Item needs to be procured,5.0
13058,Graham,Automatic,Steel,,Used (Very good),"Original box, original papers",Men's watch/Unisex,8700.0,Item is in stock,239.0
13059,Maurice Lacroix,Automatic,Steel,Leather,New,"Original box, original papers",,1987.0,Item is in stock,1179.0
13060,NOMOS,Automatic,Steel,Calf skin,New,"Original box, original papers",Men's watch/Unisex,3923.0,Item is in stock,399.0
13061,Pequignet,Quartz,Steel,Steel,Like new & unworn,"Original papers, no original box",Women's watch,657.0,Item is in stock,1425.0
13062,Raketa,Manual winding,,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,217.0,Item is in stock,496.0
13063,Swiss Military,Quartz,Steel,Titanium,New,"Original box, original papers",Men's watch/Unisex,541.0,Item is in stock,125.0
13064,Carl F. Bucherer,Quartz,Steel,Steel,Used (Good),"No original box, no original papers",Men's watch/Unisex,196.0,Item is in stock,
13065,Hamilton,Automatic,Steel,Steel,New,"Original box, original papers",Women's watch,985.0,Item is in stock,580.0
13066,Vacheron Constantin,,Steel,Steel,Used (Very good),"Original box, original papers",,29446.0,Item is in stock,57.0
13067,Garmin,Solar,,,New,"Original box, original papers",,276.0,Item needs to be procured,7730.0
13068,Meistersinger,Automatic,Steel,Leather,,"Original box, original papers",,2495.0,Item is in stock,616.0
13069,Casio,,,Rubber,New,"Original box, original papers",,114.0,Item is in stock,1179.0
13070,Victorinox Swiss Army,Automatic,Carbon,Silicon,New,"Original box, original papers",,1350.0,Item needs to be procured,8544.0
13071,Omega,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,4555.0,Item is in stock,1296.0
13072,Certina,,,,New,"Original box, original papers",Men's watch/Unisex,813.0,Item is in stock,2330.0
13073,Rado,,Ceramic,Ceramic,Used (Very good),"No original box, no original papers",Men's watch/Unisex,561.0,Item is in stock,133.0
13074,Anonimo,Automatic,Bronze,Leather,New,"Original box, original papers",Men's watch/Unisex,4474.0,Item needs to be procured,14950.0
13075,Union Glashütte,Automatic,,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,1843.0,Item is in stock,
13076,Norqain,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,2061.0,Item available on request,2508.0
13077,Chronoswiss,Automatic,Rose gold,Crocodile skin,Used (Very good),"No original box, no original papers",Men's watch/Unisex,14528.0,Item needs to be procured,203.0
13078,Pequignet,Quartz,Steel,Leather,Like new & unworn,"No original box, no original papers",Women's watch,514.0,Item is in stock,2030.0
13079,Jaeger-LeCoultre,Manual winding,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,1500.0,Item is in stock,405.0
13080,Yema,Automatic,Steel,Plastic,New,"Original box, original papers",Men's watch/Unisex,568.0,Item is in stock,1087.0
13081,Daniel Roth,Automatic,Steel,,Used (Very good),"Original box, original papers",Men's watch/Unisex,10303.0,Item is in stock,451.0
13082,Bremont,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,4254.0,Item is in stock,205.0
13083,Alexander Shorokhoff,Automatic,Steel,Crocodile skin,New,"Original box, original papers",Men's watch/Unisex,1621.0,Item is in stock,1266.0
13084,Parmigiani Fleurier,Automatic,Rose gold,,Used (Very good),"Original box, original papers",Men's watch/Unisex,16950.0,Item is in stock,2206.0
13085,Traser,Quartz,Steel,Silicon,Like new & unworn,"Original papers, no original box",Men's watch/Unisex,541.0,Item needs to be procured,8544.0
13086,Traser,Automatic,,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,921.0,Item needs to be procured,8544.0
13087,Jaquet-Droz,Automatic,Steel,Leather,Used (Good),"Original box, original papers",Men's watch/Unisex,3915.0,Item is in stock,17875.0
13088,Garmin,Quartz,Titanium,Titanium,New,"Original box, original papers",Men's watch/Unisex,1030.0,Item needs to be procured,497.0
13089,Longines,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,2391.0,Item is in stock,324.0
13090,Omega,Manual winding,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,5650.0,Item is in stock,418.0
13091,Van Cleef & Arpels,Quartz,White gold,,Used (Good),"Original box, original papers",Women's watch,17230.0,Item needs to be procured,119.0
13092,Behrens,Automatic,Steel,Crocodile skin,New,"Original box, original papers",Men's watch/Unisex,2219.0,Item needs to be procured,76.0
13093,Bulova,Manual winding,,Leather,Used (Good),"No original box, no original papers",,428.0,Item is in stock,579.0
13094,Mb&f,Manual winding,White gold,Crocodile skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,56000.0,Item is in stock,4.0
13095,Movado,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Women's watch,695.0,Item is in stock,546.0
13096,Chanel,Automatic,Steel,Ceramic,,"Original box, original papers",,7750.0,Item available on request,1118.0
13097,Waltham,Automatic,Steel,Steel,Used (Fair),"Original box, original papers",Men's watch/Unisex,911.0,Item is in stock,17875.0
13098,Universal Genève,Manual winding,Steel,Crocodile skin,Used (Very good),"No original box, no original papers",,11775.0,Item is in stock,203.0
13099,A. Lange & Söhne,Manual winding,Rose gold,Rose gold,Used (Very good),"Original papers, no original box",Men's watch/Unisex,69950.0,Item is in stock,418.0
13100,Graham,Automatic,Steel,,Used (Good),"Original box, original papers",,2043.0,Item needs to be procured,1111.0
13101,Mido,,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,950.0,Item is in stock,405.0
13102,Clerc,Quartz,Steel,Rubber,New,"Original box, original papers",Women's watch,3888.0,Item is in stock,141.0
13103,Edox,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,1030.0,Item is in stock,4594.0
13104,Wyler Vetta,,Yellow gold,Lizard skin,Like new & unworn,"Original box, original papers",Women's watch,4165.0,Item is in stock,
13105,Atlantic,Automatic,,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,324.0,Item is in stock,1433.0
13106,Eterna,Quartz,Yellow gold,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,3037.0,Item is in stock,172.0
13107,Richard Mille,Automatic,Carbon,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,267500.0,Item is in stock,243.0
13108,Waltham,Manual winding,,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,780.0,Item is in stock,251.0
13109,Franck Muller,Automatic,Rose gold,Leather,Used (Very good),"No original box, no original papers",,11988.0,Item is in stock,246.0
13110,Bremont,Automatic,Steel,Calf skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,2842.0,Item is in stock,
13111,Revue Thommen,Automatic,,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,488.0,Item is in stock,
13112,Bulgari,Manual winding,Sapphire crystal,Crocodile skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,83000.0,Item is in stock,284.0
13113,Anonimo,Automatic,Steel,Rubber,New,"Original box, original papers",,2115.0,Item is in stock,1004.0
13114,GUB Glashütte,Manual winding,Gold/Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,602.0,Item is in stock,
13115,Ball,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,2536.0,Item is in stock,2224.0
13116,Mondaine,,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,755.0,Item is in stock,1463.0
13117,Christopher Ward,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,769.0,Item is in stock,
13118,GUB Glashütte,,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,649.0,Item is in stock,3079.0
13119,Gevril,Automatic,,,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,699.0,Item is in stock,
13120,NOMOS,Manual winding,Steel,Leather,Used (Good),"Original box, original papers",Men's watch/Unisex,1581.0,Item needs to be procured,314.0
13121,Tudor,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,3540.0,Item is in stock,1177.0
13122,Louis Vuitton,Automatic,Steel,,Used (Very good),"No original box, no original papers",,3255.0,Item needs to be procured,1111.0
13123,Zeppelin,,,,New,"Original box, original papers",,355.0,Item is in stock,144.0
13124,Girard Perregaux,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,30000.0,Item is in stock,395.0
13125,Roamer,Automatic,,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,238.0,Item is in stock,
13126,Angelus,Automatic,Steel,Leather,Used (Good),"No original box, no original papers",,736.0,Item is in stock,2047.0
13127,ZRC,Automatic,Steel,Textile,New,"No original box, no original papers",Men's watch/Unisex,3026.0,Item is in stock,80.0
13128,Van Cleef & Arpels,,Rose gold,Leather,Used (Very good),"Original box, no original papers",Women's watch,6422.0,Item is in stock,1735.0
13129,Traser,Automatic,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1452.0,Item is in stock,14642.0
13130,Zeppelin,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,357.0,Item is in stock,2330.0
13131,A. Lange & Söhne,,Platinum,,Used (Very good),"Original box, original papers",,84418.0,Item is in stock,665.0
13132,Ernest Borel,Quartz,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,507.0,Item is in stock,313.0
13133,Porsche Design,Automatic,Titanium,Rubber,New,"Original box, original papers",Men's watch/Unisex,7050.0,Item is in stock,1.0
13134,Seiko,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,1165.0,Item is in stock,1396.0
13135,Steinhart,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,729.0,Item is in stock,411.0
13136,Ernest Borel,Manual winding,Steel,,Used (Good),"No original box, no original papers",Men's watch/Unisex,298.0,Item is in stock,
13137,Rado,Automatic,Ceramic,Textile,New,"Original box, original papers",,3325.0,Item is in stock,1179.0
13138,Gérald Genta,Automatic,White gold,Crocodile skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,,Item available on request,173.0
13139,Pequignet,Quartz,Steel,Leather,Used (Good),"Original papers, no original box",Women's watch,482.0,Item is in stock,1425.0
13140,Pequignet,Automatic,Steel,Crocodile skin,New,"Original box, original papers",Men's watch/Unisex,8785.0,Item available on request,566.0
13141,Ulysse Nardin,Manual winding,Titanium,Rubber,Used (Very good),"Original papers, no original box",Men's watch/Unisex,15950.0,Item is in stock,3088.0
13142,Gérald Genta,Quartz,Yellow gold,Leather,Used (Very good),"No original box, no original papers",,6844.0,Item is in stock,174.0
13143,Garmin,Quartz,Steel,Silicon,New,"Original box, original papers",Men's watch/Unisex,975.0,Item is in stock,14950.0
13144,NOMOS,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,2917.0,Item is in stock,327.0
13145,Van Cleef & Arpels,Quartz,Rose gold,Leather,Used (Good),"Original papers, no original box",Women's watch,10409.0,Item is in stock,25.0
13146,Audemars Piguet,Automatic,Rose gold,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,48995.0,Item is in stock,45.0
13147,Chronoswiss,Automatic,Steel,Alligator skin,Used (Very good),"No original box, no original papers",Men's watch/Unisex,1681.0,Item is in stock,9683.0
13148,TAG Heuer,Automatic,Steel,Steel,New,"Original box, no original papers",Men's watch/Unisex,3980.0,Item is in stock,324.0
13149,Bremont,Automatic,Steel,,Used (Very good),"Original box, original papers",Men's watch/Unisex,2553.0,Item is in stock,
13150,Tudor,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,2770.0,Item is in stock,1.0
13151,Swiss Military,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,292.0,Item is in stock,14642.0
13152,Van Cleef & Arpels,Quartz,White gold,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,7841.0,Item needs to be procured,230.0
13153,Hermès,Automatic,Titanium,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,3700.0,Item is in stock,
13154,A. Lange & Söhne,Manual winding,White gold,Crocodile skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,55000.0,Item is in stock,306.0
13155,Raymond Weil,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,1295.0,Item is in stock,3088.0
13156,Movado,Manual winding,Yellow gold,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,850.0,Item is in stock,908.0
13157,Swatch,Automatic,Ceramic,,Used (Good),"Original box, no original papers",,428.0,Item is in stock,37.0
13158,Bulova,Quartz,Steel,Steel,New,"Original box, original papers",Women's watch,367.0,Item is in stock,1629.0
13159,Roger Dubuis,,Titanium,,Like new & unworn,"Original box, original papers",,68480.0,Item is in stock,23.0
13160,Waltham,Manual winding,Gold/Steel,,Used (Good),"No original box, no original papers",Men's watch/Unisex,285.0,Item is in stock,1393.0
13161,Panerai,Automatic,Steel,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,9900.0,Item is in stock,32.0
13162,Lorus,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,97.0,Item is in stock,14642.0
13163,Romain Jerome,Automatic,Steel,,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,5000.0,Item is in stock,1369.0
13164,F.P.Journe,Automatic,Platinum,Crocodile skin,Used (Good),"Original box, original papers",Men's watch/Unisex,,Item needs to be procured,73.0
13165,Raymond Weil,Quartz,Gold/Steel,Gold/Steel,Used (Very good),"Original box, original papers",Women's watch,300.0,Item is in stock,1606.0
13166,Oris,Automatic,Steel,Rubber,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,2000.0,Item is in stock,1369.0
13167,Chaumet,Quartz,Steel,Rubber,Used (Good),"No original box, no original papers",Men's watch/Unisex,2168.0,Item is in stock,376.0
13168,Alpina,Quartz,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,695.0,Item is in stock,2264.0
13169,Pequignet,,Gold/Steel,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,6655.0,Item is in stock,3079.0
13170,Frederique Constant,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,1891.0,Item needs to be procured,602.0
13171,Bovet,Automatic,White gold,Leather,Used (Very good),"Original box, no original papers",Men's watch/Unisex,16160.0,Item needs to be procured,921.0
13172,Citizen,Quartz,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,545.0,Item is in stock,219.0
13173,F.P.Journe,Manual winding,Platinum,Crocodile skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,,Item is in stock,73.0
13174,Sector,Quartz,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,162.0,Item is in stock,14642.0
13175,Grand Seiko,Automatic,Titanium,Titanium,Used (Good),"Original box, original papers",Men's watch/Unisex,7495.0,Item is in stock,
13176,Ulysse Nardin,Automatic,Rose gold,Rubber,Used (Very good),"Original box, original papers",,16750.0,Item is in stock,895.0
13177,Hermès,Quartz,Steel,Steel,Used (Good),"No original box, no original papers",Women's watch,780.0,Item is in stock,937.0
13178,Swatch,Automatic,Plastic,Textile,New,"Original box, original papers",Men's watch/Unisex,675.0,Item is in stock,1083.0
13179,Richard Mille,Automatic,Carbon,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,468000.0,Item is in stock,593.0
13180,Gaga Milano,,,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,488.0,Item is in stock,
13181,Glashütte Original,Automatic,,Calf skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,13500.0,Item is in stock,957.0
13182,Longines,Automatic,Gold/Steel,Crocodile skin,Used (Good),"No original box, no original papers",Men's watch/Unisex,465.0,Item is in stock,1393.0
13183,Fendi,Quartz,Steel,Calf skin,,"Original box, original papers",,375.0,Item is in stock,1178.0
13184,Audemars Piguet,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,39875.0,Item is in stock,1125.0
13185,Union Glashütte,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,3682.0,Item is in stock,497.0
13186,Jean Marcel,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,1399.0,Item needs to be procured,1076.0
13187,Daniel Roth,Automatic,Rose gold,,Used (Good),"No original box, no original papers",Men's watch/Unisex,14975.0,Item is in stock,17.0
13188,Edox,Automatic,,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,938.0,Item is in stock,482.0
