id,brand,movement,case_material,bracelet_material,condition,scope_of_delivery,gender,price,availability,watches_sold
256,Jacob & Co.,Quartz,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,3999.0,Available,522
257,Fendi,Quartz,Rose gold,Leather,Used (Good),No Box and papers,Women's watch,213.0,Available,6075
258,Bruno Söhnle,Automatic,Steel,Steel,Used (Good),No Box and papers,Women's watch,1294.0,Available,231
263,Breguet,Automatic,White gold,Leather,Used (Good),Original Box and Papers,Men's watch/Unisex,29990.0,Available,3529
267,Daniel Roth,Automatic,White gold,Leather,New,Original Box and Papers,Men's watch/Unisex,39217.0,Available,18
269,Venezianico,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,610.0,Available,342
270,Rotary,Quartz,Steel,Steel,New,Original Box and Papers,Women's watch,161.0,Available,14626
272,Rado,Automatic,Ceramic,Ceramic,Used (Good),Original Box and Papers,Men's watch/Unisex,1223.0,Available,364
273,Universal Genève,Manual winding,Rose gold,Leather,Used (Good),No Box and papers,Men's watch/Unisex,12856.0,Available,141
274,Cartier,Quartz,Steel,Leather,Used (Good),Original Box,Men's watch/Unisex,2498.0,Available,132
275,Van Der Bauwede,Quartz,Gold/Steel,Satin,New,Original Box and Papers,Women's watch,719.0,Available,1
281,Universal Genève,Automatic,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,818.0,Available,57
283,Formex,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,1523.0,Available Upon Request,1072
284,TW Steel,Quartz,Steel,Textile,New,Original Box and Papers,Men's watch/Unisex,215.0,Available,14626
285,Paul Picot,Automatic,Steel,Leather,Used (Good),Original Box and Papers,Men's watch/Unisex,2020.0,Available,127
287,Raketa,Manual winding,Steel,Steel,Used (Good),No Box and papers,Men's watch/Unisex,421.0,Available,78
292,H.Moser & Cie.,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,23552.0,Available,118
295,Franck Muller,Automatic,Rose gold,Leather,Used (Good),Original Box and Papers,Men's watch/Unisex,7995.0,Available,407
296,Traser,Quartz,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,859.0,Available,14626
297,Lemania,Manual winding,Gold-plated,Leather,Used (Good),No Box and papers,Men's watch/Unisex,539.0,Available,1431
298,Rotary,Manual winding,Steel,Leather,Used,No Box and papers,Men's watch/Unisex,500.0,Available,17847
299,Franck Muller,Automatic,Steel,Steel,Used (Good),Original Box and Papers,Men's watch/Unisex,4750.0,Available,94
300,Tissot,Automatic,Steel,Steel,New,Original Box and Papers,Women's watch,606.0,Available,576
303,Cyma,Quartz,Yellow gold,Leather,New,No Box and papers,Men's watch/Unisex,292.0,Available,2998
305,Mühle Glashütte,Automatic,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,3239.0,Available,231
310,Grand Seiko,Automatic,Steel,Steel,Used (Good),No Box and papers,Women's watch,2750.0,Available,404
313,Montblanc,Automatic,Steel,Steel,Used (Good),Original Box and Papers,Men's watch/Unisex,2010.0,Available Upon Request,56
